"Between 1 October 2017 and 30 September 2018, will an armed group from Afghanistan engage in a campaign that systematically kills 1,000 or more civilians in Afghanistan?",2017-09-29T17:00:49Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],226,654,60,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Afghanistan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/633-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-afghanistan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-afghanistan
368,2017-11-27T02:22:24Z,57,[0.0],[0.0],
41270,2017-11-26T21:02:24Z,1,[1.0],[1.0],
368,2017-11-26T01:39:46Z,56,[0.0],[0.0],
368,2017-11-24T16:37:27Z,55,[0.0],[0.0],
691,2017-11-24T16:22:30Z,29,[1.0],[0.0],
368,2017-11-24T01:27:52Z,54,[0.0],[0.0],
368,2017-11-23T00:10:56Z,53,[0.0],[0.0],
368,2017-11-22T00:22:07Z,52,[0.0],[0.0],
691,2017-11-21T21:49:38Z,28,[1.0],[0.0],
368,2017-11-20T21:43:08Z,51,[0.0],[0.0],
691,2017-11-20T18:04:41Z,27,[1.0],[0.0],
368,2017-11-19T23:56:48Z,50,[0.0],[0.0],
14166,2017-11-19T21:16:19Z,1,[1.0],[1.0],
373,2017-11-19T20:34:24Z,1,[15.0],[15.0],
37250,2017-11-19T15:12:02Z,1,[0.0],[0.0],
368,2017-11-19T00:45:30Z,49,[0.0],[0.0],
691,2017-11-18T19:57:52Z,26,[1.0],[0.0],
368,2017-11-17T21:45:31Z,48,[0.0],[0.0],
691,2017-11-17T15:16:36Z,25,[1.0],[0.0],
368,2017-11-16T19:55:35Z,47,[0.0],[0.0],
691,2017-11-15T22:11:37Z,24,[1.0],[0.0],
691,2017-11-14T22:27:29Z,23,[1.0],[0.0],
12302,2017-11-14T15:24:43Z,8,[25.0],[-10.0],
368,2017-11-13T22:15:40Z,46,[0.0],[0.0],
368,2017-11-13T01:20:52Z,45,[0.0],[0.0],
691,2017-11-12T21:49:38Z,22,[1.0],[0.0],
37533,2017-11-12T14:58:12Z,1,[0.0],[0.0],
12302,2017-11-12T13:54:28Z,7,[35.0],[10.0],
2965,2017-11-12T12:20:33Z,5,[0.0],[0.0],
368,2017-11-11T20:00:53Z,44,[0.0],[0.0],
368,2017-11-10T18:18:00Z,43,[0.0],[0.0],
368,2017-11-10T01:41:53Z,42,[0.0],[0.0],
691,2017-11-09T19:46:27Z,21,[1.0],[0.0],
41318,2017-11-09T06:02:59Z,1,[20.0],[20.0],
368,2017-11-08T19:56:48Z,41,[0.0],[0.0],
1333,2017-11-08T14:59:50Z,5,[75.0],[-10.0],
368,2017-11-07T19:01:41Z,40,[0.0],[0.0],
368,2017-11-06T18:47:56Z,39,[0.0],[0.0],
368,2017-11-05T22:23:33Z,38,[0.0],[0.0],
368,2017-11-04T21:58:36Z,37,[0.0],[0.0],
2965,2017-11-04T10:12:15Z,4,[0.0],[-75.0],
368,2017-11-03T17:18:17Z,36,[0.0],[0.0],
691,2017-11-03T15:26:41Z,20,[1.0],[0.0],
691,2017-11-02T19:07:35Z,19,[1.0],[0.0],
368,2017-11-02T17:19:26Z,35,[0.0],[0.0],
368,2017-11-01T21:46:50Z,34,[0.0],[0.0],
691,2017-11-01T18:43:36Z,18,[1.0],[0.0],
691,2017-10-31T22:38:00Z,17,[1.0],[0.0],
368,2017-10-31T18:33:09Z,33,[0.0],[0.0],
368,2017-10-30T21:51:50Z,32,[0.0],[0.0],
32100,2017-10-30T16:59:09Z,1,[2.0],[2.0],
6303,2017-10-30T03:30:03Z,3,[1.0],[0.0],Based on general news and GJP consensus.
368,2017-10-29T17:26:01Z,31,[0.0],[0.0],
691,2017-10-29T12:57:41Z,16,[1.0],[-1.0],
368,2017-10-29T01:27:17Z,30,[0.0],[0.0],
368,2017-10-27T20:04:44Z,29,[0.0],[0.0],
691,2017-10-27T18:32:43Z,15,[2.0],[0.0],
691,2017-10-26T21:43:01Z,14,[2.0],[0.0],
368,2017-10-26T17:49:26Z,28,[0.0],[0.0],
368,2017-10-26T17:46:25Z,27,[0.0],[0.0],
598,2017-10-26T13:07:09Z,1,[25.0],[25.0],"A thousand civilians look like a lot in this low intensity conflict (more likely: a thousand military or police troops, cumulative), however one cannot confidently predict a near-zero chance, these being pretty volatile folks. Trend (based on general news) suggests relative calm for me, though."
368,2017-10-25T23:30:22Z,26,[0.0],[0.0],
691,2017-10-25T15:11:44Z,13,[2.0],[0.0],
40125,2017-10-24T22:34:08Z,1,[9.0],[9.0],
691,2017-10-24T20:30:14Z,12,[2.0],[1.0],
368,2017-10-24T18:38:59Z,25,[0.0],[0.0],
40872,2017-10-24T05:44:24Z,1,[65.0],[65.0],ISIS is diminishing from Iraq and Afghans have more than enough issues with Taliban and previous Afghan presidents claims US inability in dealing with Afghanistan
368,2017-10-23T20:03:29Z,24,[0.0],[0.0],
6303,2017-10-23T02:38:06Z,2,[1.0],[0.0],Based on general news and GJP consensus.
427,2017-10-23T02:16:22Z,1,[1.0],[1.0],
368,2017-10-21T21:15:54Z,23,[0.0],[0.0],
