When will a member of China's Politburo Standing Committee visit North Korea?,2017-10-24T17:00:56Z,2018-09-08T17:00:25Z,"Between 1 August 2018 and 31 October 2018, inclusive","['Before 1 February 2018', 'Between 1 February 2018 and 30 April 2018, inclusive', 'Between 1 May 2018 and 31 July 2018, inclusive', 'Between 1 August 2018 and 31 October 2018, inclusive', 'Not before 1 November 2018']","['Foreign Policy', 'Security and Conflict']",1193,654,361,237,"Disputes over North Korea's nuclear and missile program have strained the relationship between the two allies (Council on Foreign Relations). The last high-level Chinese visit to Pyongyang was made by a member of the Politburo Standing Committee in 2015 (Bloomberg, Beyond Parallel). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/670-when-will-a-member-of-china-s-politburo-standing-committee-visit-north-korea
5018,2018-09-10T13:19:46Z,5,"[0.0, 0.0, 0.0, 99.0, 1.0]","[0.0, 0.0, 0.0, 87.0, -87.0]",
40617,2018-09-10T12:54:23Z,5,"[0.0, 0.0, 0.0, 99.0, 1.0]","[0.0, 0.0, 0.0, 14.0, -14.0]",Looks like Li Zhanshu ( a member of the Standing Committee) will be attending instead of Xi. Still fits the criteria: https://www.voanews.com/a/chinese-president-skip-north-korean-anniversary-event/4561703.html
15196,2018-09-10T10:12:52Z,11,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 80.0, -80.0]",
368,2018-09-09T21:36:09Z,254,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 100.0, -100.0]",
47482,2018-09-09T16:48:54Z,5,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 1.0, -1.0]",Li Zhanshu photographed today with arms raised & holding hands with KJU for the 70th anniversary NK Parade. https://www.msn.com/en-us/news/world/n-korea-stages-huge-parade-holds-back-on-advanced-missiles/ar-BBN46iM?li=BBnb7Kz&OCID=ansmsnnews11
1333,2018-09-09T14:53:23Z,44,"[0.0, 0.0, 0.0, 45.0, 55.0]","[0.0, 0.0, 0.0, 1.0, -1.0]",
39937,2018-09-09T08:36:47Z,12,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",http://www.globaltimes.cn/content/1118860.shtml
368,2018-09-08T17:46:52Z,253,"[0.0, 0.0, 0.0, 0.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
47482,2018-09-08T17:32:08Z,4,"[0.0, 0.0, 0.0, 99.0, 1.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",Affirming. Should know if Li Zhanshu shows in 12 hrs or less
47812,2018-09-08T14:01:32Z,11,"[0.0, 0.0, 0.0, 99.0, 1.0]","[0.0, 0.0, 0.0, 14.0, -14.0]",
13377,2018-09-08T06:30:33Z,8,"[0.0, 0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, -1.0, 67.0, -66.0]",
368,2018-09-07T15:57:31Z,252,"[0.0, 0.0, 0.0, 0.0, 100.0]","[0.0, 0.0, 0.0, 0.0, 0.0]",
1333,2018-09-07T14:17:38Z,43,"[0.0, 0.0, 0.0, 44.0, 56.0]","[0.0, 0.0, 0.0, -1.0, 1.0]",
