"Before 1 January 2018, will there be a lethal confrontation in the South or East China Sea between the military forces, militia, or law enforcement personnel of China and another country?",2017-02-21T18:00:58Z,2018-01-01T07:59:58Z,No,"['Yes', 'No']",['Security and Conflict'],1255,654,289,237,"A lethal confrontation, in this case, is one that results in at least three fatalities. Civilian fatalities will count so long as the military, law enforcement, or militia of China and another country are involved in the confrontation. China has been using People's Liberation Army Navy(PLAN), militia, and law enforcement to further its claims in both the South and East China Sea ( CNBC, The Guardian, Center for Strategic and International Studies). In the South China Sea, overlapping territorial claims, China's construction of artificial islands, and disagreements over freedom of navigation have heightened tensions (Washington Post). In the East China Sea, China and Japan make competing claims to a group of islands and frequently dispatch planes and boats to assert or defend those claims (US News, ABC). Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/419-before-1-january-2018-will-a-confrontation-in-the-south-or-east-china-sea-between-the-military-forces-militia-or-law-enforcement-personnel-of-china-and-another-country-result-in-3-fatalities
44828,2017-12-31T21:28:16Z,1,[60.0],[60.0],With the Phillipines prompted by their leader over trumped up excuses such as land or trade. We will get involved.
368,2017-12-31T19:03:15Z,291,[0.0],[0.0],
4273,2017-12-31T18:41:01Z,15,[0.0],[-1.0],
43870,2017-12-31T17:11:55Z,1,[1.0],[1.0],
2965,2017-12-31T16:09:45Z,57,[0.0],[0.0],
1034,2017-12-31T16:01:59Z,251,[0.0],[0.0],
691,2017-12-31T12:44:11Z,186,[0.0],[0.0],
37520,2017-12-31T10:01:36Z,2,[0.0],[0.0],
37520,2017-12-31T09:50:58Z,1,[0.0],[0.0],
368,2017-12-31T03:33:08Z,290,[0.0],[0.0],
691,2017-12-30T20:53:05Z,185,[0.0],[0.0],
73,2017-12-30T19:56:15Z,1,[0.0],[0.0],
1034,2017-12-30T10:59:33Z,250,[0.0],[0.0],
20156,2017-12-30T10:51:46Z,2,[0.0],[-3.0],
29680,2017-12-30T03:12:33Z,3,[0.0],[-1.0],
368,2017-12-29T20:52:13Z,289,[0.0],[0.0],
11430,2017-12-29T20:50:40Z,2,[1.0],[-24.0],
23234,2017-12-29T16:21:27Z,2,[0.0],[-1.0],
22308,2017-12-29T15:35:09Z,3,[0.0],[-2.0],
1034,2017-12-29T08:46:53Z,249,[0.0],[0.0],
368,2017-12-29T01:54:58Z,288,[0.0],[0.0],
1034,2017-12-28T11:21:44Z,248,[0.0],[0.0],
368,2017-12-27T21:28:14Z,287,[0.0],[0.0],
1034,2017-12-27T07:44:38Z,247,[0.0],[0.0],
38564,2017-12-27T04:19:08Z,1,[0.0],[0.0],
368,2017-12-27T01:58:34Z,286,[0.0],[0.0],
42653,2017-12-27T00:52:15Z,1,[75.0],[75.0],
691,2017-12-26T15:23:48Z,184,[0.0],[0.0],
1034,2017-12-26T05:31:29Z,246,[0.0],[0.0],
368,2017-12-25T21:52:16Z,285,[0.0],[0.0],
43055,2017-12-25T16:41:49Z,1,[20.0],[20.0],There will be little more than a show of force.
1034,2017-12-25T07:30:54Z,245,[0.0],[0.0],
368,2017-12-25T01:04:46Z,284,[0.0],[0.0],
42612,2017-12-24T08:16:21Z,1,[0.0],[0.0],
21884,2017-12-24T08:06:45Z,4,[0.0],[0.0],
1034,2017-12-24T05:49:41Z,244,[0.0],[0.0],
368,2017-12-24T02:38:33Z,283,[0.0],[0.0],
1034,2017-12-23T07:50:33Z,243,[0.0],[0.0],
42794,2017-12-23T05:01:00Z,1,[0.0],[0.0],
368,2017-12-23T03:21:12Z,282,[0.0],[0.0],
21884,2017-12-23T00:40:48Z,3,[0.0],[-1.0],
691,2017-12-22T21:09:49Z,183,[0.0],[0.0],
368,2017-12-22T17:40:03Z,281,[0.0],[0.0],
1034,2017-12-22T11:12:56Z,242,[0.0],[0.0],
368,2017-12-21T23:46:14Z,280,[0.0],[0.0],
1034,2017-12-21T15:23:42Z,241,[0.0],[0.0],
368,2017-12-20T19:16:53Z,279,[0.0],[0.0],
1034,2017-12-20T05:15:58Z,240,[0.0],[0.0],
368,2017-12-20T02:49:26Z,278,[0.0],[0.0],
691,2017-12-19T18:05:33Z,182,[0.0],[0.0],
67,2017-12-19T12:20:52Z,4,[1.0],[-1.0],
20588,2017-12-19T08:24:26Z,3,[0.0],[-1.0],
25141,2017-12-19T07:08:47Z,1,[0.0],[0.0],
1034,2017-12-19T05:26:34Z,239,[0.0],[0.0],
368,2017-12-19T05:24:31Z,277,[0.0],[0.0],
368,2017-12-19T01:02:50Z,276,[0.0],[0.0],
37053,2017-12-18T15:30:27Z,1,[1.0],[1.0],
1034,2017-12-18T05:36:36Z,238,[0.0],[0.0],
30400,2017-12-17T11:46:44Z,1,[0.0],[0.0],
1034,2017-12-17T07:13:08Z,237,[0.0],[0.0],
180,2017-12-17T02:45:37Z,11,[15.0],[0.0],
180,2017-12-17T02:41:36Z,10,[15.0],[-5.0],
