Which film will win the 2020 BAFTA Award for Best Film?,2020-01-10T18:00:06Z,2020-02-02T07:59:06Z,1917,"['1917', 'The Irishman', 'Joker', 'Once Upon a Time...in Hollywood', 'Parasite', 'A tie or other outcome']",['Entertainment'],95,654,60,237,,https://www.gjopen.com/questions/1482-which-film-will-win-the-2020-bafta-award-for-best-film
28998,2020-02-02T01:16:53Z,1,"[71.0, 16.0, 2.0, 1.0, 10.0, 0.0]","[71.0, 16.0, 2.0, 1.0, 10.0, 0.0]",
767,2020-02-01T22:26:15Z,2,"[70.0, 0.0, 20.0, 0.0, 10.0, 0.0]","[20.0, 0.0, -5.0, -10.0, -5.0, 0.0]",
84685,2020-02-01T19:27:12Z,1,"[78.0, 22.0, 0.0, 0.0, 0.0, 0.0]","[78.0, 22.0, 0.0, 0.0, 0.0, 0.0]",
80764,2020-02-01T17:52:12Z,1,"[70.0, 1.0, 1.0, 9.0, 19.0, 0.0]","[70.0, 1.0, 1.0, 9.0, 19.0, 0.0]",
1333,2020-02-01T10:09:02Z,16,"[59.0, 2.0, 2.0, 2.0, 35.0, 0.0]","[-1.0, 1.0, 0.0, 0.0, 0.0, 0.0]",
56,2020-01-31T23:57:54Z,3,"[65.0, 5.0, 5.0, 15.0, 10.0, 0.0]","[15.0, -10.0, 0.0, -5.0, 0.0, 0.0]",
691,2020-01-31T14:06:39Z,9,"[70.0, 1.0, 1.0, 9.0, 19.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
67844,2020-01-31T07:40:02Z,1,"[77.0, 0.0, 0.0, 8.0, 15.0, 0.0]","[77.0, 0.0, 0.0, 8.0, 15.0, 0.0]",
79464,2020-01-30T18:37:25Z,1,"[65.0, 5.0, 5.0, 5.0, 15.0, 5.0]","[65.0, 5.0, 5.0, 5.0, 15.0, 5.0]",
84644,2020-01-30T14:58:53Z,1,"[85.0, 0.0, 5.0, 0.0, 10.0, 0.0]","[85.0, 0.0, 5.0, 0.0, 10.0, 0.0]",
1333,2020-01-30T14:31:07Z,15,"[60.0, 1.0, 2.0, 2.0, 35.0, 0.0]","[0.0, 1.0, 0.0, 0.0, -1.0, 0.0]",
84288,2020-01-30T14:28:39Z,2,"[91.0, 4.0, 2.0, 2.0, 1.0, 0.0]","[15.0, -6.0, -4.0, -2.0, -3.0, 0.0]",
691,2020-01-30T14:15:59Z,8,"[70.0, 1.0, 1.0, 9.0, 19.0, 0.0]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
40848,2020-01-29T22:43:08Z,3,"[72.0, 3.0, 3.0, 8.0, 14.0, 0.0]","[8.0, -1.0, -3.0, -4.0, 0.0, 0.0]",
691,2020-01-29T11:28:03Z,7,"[70.0, 1.0, 1.0, 9.0, 19.0, 0.0]","[3.0, 0.0, 0.0, -3.0, 0.0, 0.0]",
767,2020-01-28T21:49:35Z,1,"[50.0, 0.0, 25.0, 10.0, 15.0, 0.0]","[50.0, 0.0, 25.0, 10.0, 15.0, 0.0]",
14107,2020-01-28T19:58:48Z,3,"[65.0, 3.0, 3.0, 13.0, 16.0, 0.0]","[4.0, -1.0, -1.0, 0.0, -2.0, 0.0]",
84592,2020-01-28T16:03:54Z,1,"[65.0, 10.0, 10.0, 5.0, 10.0, 0.0]","[65.0, 10.0, 10.0, 5.0, 10.0, 0.0]",
84591,2020-01-28T15:59:30Z,1,"[65.0, 6.0, 9.0, 9.0, 10.0, 1.0]","[65.0, 6.0, 9.0, 9.0, 10.0, 1.0]",
84589,2020-01-28T15:58:23Z,1,"[64.0, 5.0, 7.0, 8.0, 15.0, 1.0]","[64.0, 5.0, 7.0, 8.0, 15.0, 1.0]",
84590,2020-01-28T15:57:18Z,1,"[60.0, 15.0, 5.0, 3.0, 15.0, 2.0]","[60.0, 15.0, 5.0, 3.0, 15.0, 2.0]",
17007,2020-01-28T15:54:53Z,1,"[90.0, 10.0, 0.0, 0.0, 0.0, 0.0]","[90.0, 10.0, 0.0, 0.0, 0.0, 0.0]",
84593,2020-01-28T15:47:50Z,1,"[70.0, 5.0, 10.0, 5.0, 10.0, 0.0]","[70.0, 5.0, 10.0, 5.0, 10.0, 0.0]",
14432,2020-01-28T04:39:44Z,1,"[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[100.0, 0.0, 0.0, 0.0, 0.0, 0.0]",
1333,2020-01-27T17:56:38Z,14,"[60.0, 0.0, 2.0, 2.0, 36.0, 0.0]","[-1.0, 0.0, 0.0, 0.0, 1.0, 0.0]",
4577,2020-01-27T14:15:21Z,2,"[64.0, 5.0, 5.0, 11.0, 15.0, 0.0]","[0.0, -1.0, 0.0, 1.0, 1.0, -1.0]",Unweighted average of probabilities implied by odds on all markets tracked on oddschecker.com.
73970,2020-01-26T21:27:06Z,1,"[6.0, 6.0, 44.0, 28.0, 16.0, 0.0]","[6.0, 6.0, 44.0, 28.0, 16.0, 0.0]",
4577,2020-01-26T21:09:41Z,1,"[64.0, 6.0, 5.0, 10.0, 14.0, 1.0]","[64.0, 6.0, 5.0, 10.0, 14.0, 1.0]","Unweighted average of probabilities implied by odds on three betting markets (BetFair, PaddyPower, and Ladbrokes) on 1/26/20."
84521,2020-01-26T18:14:25Z,1,"[75.0, 15.0, 10.0, 0.0, 0.0, 0.0]","[75.0, 15.0, 10.0, 0.0, 0.0, 0.0]",
1333,2020-01-24T18:16:16Z,13,"[61.0, 0.0, 2.0, 2.0, 35.0, 0.0]","[4.0, 0.0, 0.0, 0.0, -4.0, 0.0]",
691,2020-01-24T14:51:07Z,6,"[67.0, 1.0, 1.0, 12.0, 19.0, 0.0]","[0.0, -1.0, -3.0, 4.0, 0.0, 0.0]",
78328,2020-01-24T01:21:05Z,2,"[68.0, 0.0, 0.0, 16.0, 16.0, 0.0]","[8.0, 0.0, 0.0, -4.0, -4.0, 0.0]",
522,2020-01-23T15:01:58Z,1,"[65.0, 0.0, 35.0, 0.0, 0.0, 0.0]","[65.0, 0.0, 35.0, 0.0, 0.0, 0.0]",
691,2020-01-22T22:19:05Z,5,"[67.0, 2.0, 4.0, 8.0, 19.0, 0.0]","[1.0, -3.0, -1.0, 2.0, 1.0, 0.0]",
24785,2020-01-22T03:48:46Z,1,"[31.0, 21.0, 9.0, 26.0, 12.0, 1.0]","[31.0, 21.0, 9.0, 26.0, 12.0, 1.0]",
84336,2020-01-22T00:55:31Z,1,"[40.0, 20.0, 15.0, 20.0, 5.0, 0.0]","[40.0, 20.0, 15.0, 20.0, 5.0, 0.0]",
14107,2020-01-21T18:32:46Z,2,"[61.0, 4.0, 4.0, 13.0, 18.0, 0.0]","[7.0, -3.0, -3.0, -3.0, 2.0, 0.0]",
1333,2020-01-21T18:22:08Z,12,"[57.0, 0.0, 2.0, 2.0, 39.0, 0.0]","[1.0, 0.0, 0.0, 0.0, -1.0, 0.0]",
84288,2020-01-21T15:02:08Z,1,"[76.0, 10.0, 6.0, 4.0, 4.0, 0.0]","[76.0, 10.0, 6.0, 4.0, 4.0, 0.0]",
40848,2020-01-20T21:04:09Z,2,"[64.0, 4.0, 6.0, 12.0, 14.0, 0.0]","[4.0, -1.0, 0.0, -1.0, -1.0, -1.0]",
691,2020-01-20T18:34:32Z,4,"[66.0, 5.0, 5.0, 6.0, 18.0, 0.0]","[0.0, 1.0, -4.0, -8.0, 11.0, 0.0]",
1333,2020-01-20T12:15:15Z,11,"[56.0, 0.0, 2.0, 2.0, 40.0, 0.0]","[0.0, 0.0, 2.0, 0.0, -2.0, 0.0]",
73436,2020-01-20T12:00:03Z,1,"[0.0, 0.0, 100.0, 0.0, 0.0, 0.0]","[0.0, 0.0, 100.0, 0.0, 0.0, 0.0]",
20156,2020-01-20T06:33:17Z,2,"[80.0, 2.0, 4.0, 7.0, 7.0, 0.0]","[35.0, -8.0, -16.0, -8.0, -3.0, 0.0]",
65300,2020-01-20T03:52:59Z,1,"[85.0, 0.0, 0.0, 15.0, 0.0, 0.0]","[85.0, 0.0, 0.0, 15.0, 0.0, 0.0]",
22343,2020-01-19T23:28:22Z,1,"[47.0, 0.0, 0.0, 0.0, 53.0, 0.0]","[47.0, 0.0, 0.0, 0.0, 53.0, 0.0]",
14840,2020-01-19T22:24:08Z,1,"[60.0, 10.0, 10.0, 10.0, 10.0, 0.0]","[60.0, 10.0, 10.0, 10.0, 10.0, 0.0]",
83230,2020-01-19T21:54:13Z,1,"[40.0, 14.0, 10.0, 20.0, 16.0, 0.0]","[40.0, 14.0, 10.0, 20.0, 16.0, 0.0]",
