Which team will win the 2017 NCAA Division I Men's Basketball Championship?,2017-03-17T17:00:39Z,2017-04-03T17:00:21Z,North Carolina,"['South Carolina', 'Oregon', 'North Carolina', 'Gonzaga']",['Sports'],208,654,77,237,"The 2017 NCAA Division I Men's Basketball Championship will be held on 3 April 2017 in Phoenix, AZ. Answer options will be replaced with names of the Final Four teams on 27 March 2017. This question will remain open until the championship game is over, but we will only score forecasts made through 11:59 p.m. Pacific time on 2 April 2017. To view an interactive bracket, visit NCAA Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/437-which-team-will-win-the-2017-ncaa-division-i-men-s-basketball-championship
25141,2017-04-04T06:43:41Z,3,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 65.0, -65.0]",
32870,2017-04-04T06:15:59Z,3,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 34.0, -34.0]",
32805,2017-04-04T05:01:29Z,1,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 100.0, 0.0]",
29145,2017-04-04T04:42:45Z,7,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 49.0, -49.0]",
32922,2017-04-04T03:49:35Z,3,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 45.0, -45.0]",
10267,2017-04-04T03:47:10Z,20,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 30.0, -30.0]",
34353,2017-04-04T03:43:06Z,5,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 35.0, -35.0]",
14432,2017-04-04T03:37:06Z,7,"[0.0, 0.0, 100.0, 0.0]","[0.0, 0.0, 25.0, -25.0]",
33035,2017-04-04T03:37:06Z,17,"[0.0, 0.0, 99.0, 1.0]","[0.0, 0.0, 33.0, -33.0]",
14432,2017-04-04T03:36:28Z,6,"[0.0, 0.0, 75.0, 25.0]","[0.0, 0.0, 20.0, -20.0]",
33035,2017-04-04T03:35:50Z,16,"[0.0, 0.0, 66.0, 34.0]","[0.0, 0.0, 15.0, -15.0]",
33035,2017-04-04T03:34:21Z,15,"[0.0, 0.0, 51.0, 49.0]","[0.0, 0.0, 2.0, -2.0]",
33035,2017-04-04T03:29:32Z,14,"[0.0, 0.0, 49.0, 51.0]","[0.0, 0.0, -3.0, 3.0]",
33035,2017-04-04T03:20:34Z,13,"[0.0, 0.0, 52.0, 48.0]","[0.0, 0.0, 4.0, -4.0]",
32779,2017-04-04T03:09:58Z,2,"[0.0, 0.0, 74.0, 26.0]","[-17.0, -2.0, 19.0, 0.0]",
33035,2017-04-04T02:43:37Z,12,"[0.0, 0.0, 48.0, 52.0]","[0.0, 0.0, -7.0, 7.0]",
33035,2017-04-04T02:37:49Z,11,"[0.0, 0.0, 55.0, 45.0]","[0.0, 0.0, 5.0, -5.0]",
33035,2017-04-04T02:34:11Z,10,"[0.0, 0.0, 50.0, 50.0]","[0.0, 0.0, 5.0, -5.0]",
33035,2017-04-04T02:05:43Z,9,"[0.0, 0.0, 45.0, 55.0]","[0.0, 0.0, 11.0, -11.0]",
33035,2017-04-04T02:05:31Z,8,"[0.0, 0.0, 34.0, 66.0]","[0.0, 0.0, 0.0, 0.0]",
