"Between 1 October 2017 and 30 September 2018, will an armed group from Sudan engage in a campaign that systematically kills 1,000 or more civilians in Sudan?",2017-09-29T17:00:44Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],179,654,50,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Sudan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/622-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-sudan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-sudan
41482,2017-11-18T23:28:56Z,1,[70.0],[70.0],
691,2017-11-18T19:55:34Z,28,[1.0],[0.0],
368,2017-11-17T21:46:24Z,36,[0.0],[0.0],
691,2017-11-17T15:14:43Z,27,[1.0],[0.0],
691,2017-11-15T22:07:22Z,26,[1.0],[0.0],
691,2017-11-14T22:19:56Z,25,[1.0],[0.0],
368,2017-11-14T19:29:16Z,35,[0.0],[0.0],
368,2017-11-13T22:16:14Z,34,[0.0],[0.0],
368,2017-11-13T01:21:35Z,33,[0.0],[0.0],
691,2017-11-12T21:47:23Z,24,[1.0],[0.0],
37533,2017-11-12T14:59:32Z,1,[0.0],[0.0],
368,2017-11-10T18:18:42Z,32,[0.0],[0.0],
368,2017-11-10T01:42:59Z,31,[0.0],[0.0],
691,2017-11-09T19:43:40Z,23,[1.0],[0.0],
41318,2017-11-09T06:08:20Z,1,[2.0],[2.0],
368,2017-11-08T19:58:02Z,30,[0.0],[0.0],
368,2017-11-07T19:02:31Z,29,[0.0],[0.0],
368,2017-11-06T18:49:11Z,28,[0.0],[0.0],
368,2017-11-05T22:24:28Z,27,[0.0],[0.0],
368,2017-11-04T21:59:32Z,26,[0.0],[0.0],
12302,2017-11-04T11:48:25Z,5,[3.0],[-1.0],
368,2017-11-03T17:19:25Z,25,[0.0],[0.0],
691,2017-11-03T15:24:54Z,22,[1.0],[0.0],
691,2017-11-02T19:05:24Z,21,[1.0],[0.0],
368,2017-11-02T17:20:54Z,24,[0.0],[0.0],
368,2017-11-01T21:47:39Z,23,[0.0],[0.0],
691,2017-11-01T18:39:05Z,20,[1.0],[0.0],
691,2017-10-31T22:36:06Z,19,[1.0],[0.0],
368,2017-10-31T18:34:09Z,22,[0.0],[0.0],
368,2017-10-30T21:53:14Z,21,[0.0],[0.0],
32100,2017-10-30T16:59:49Z,1,[4.0],[4.0],
6303,2017-10-30T03:34:01Z,3,[1.0],[0.0],Based on general news and GJP consensus.
368,2017-10-29T17:27:01Z,20,[0.0],[0.0],
1333,2017-10-29T16:39:27Z,2,[15.0],[-10.0],
691,2017-10-29T12:55:57Z,18,[1.0],[0.0],
368,2017-10-29T01:28:03Z,19,[0.0],[0.0],
368,2017-10-27T20:06:38Z,18,[0.0],[0.0],
691,2017-10-27T18:30:00Z,17,[1.0],[0.0],
12302,2017-10-26T22:56:27Z,4,[4.0],[-1.0],
12302,2017-10-26T22:53:29Z,3,[5.0],[-2.0],
691,2017-10-26T21:39:26Z,16,[1.0],[0.0],
368,2017-10-26T17:50:25Z,17,[0.0],[0.0],
368,2017-10-25T23:32:20Z,16,[0.0],[0.0],
691,2017-10-25T15:09:53Z,15,[1.0],[0.0],
691,2017-10-24T20:27:48Z,14,[1.0],[0.0],
368,2017-10-24T18:40:07Z,15,[0.0],[0.0],
368,2017-10-23T20:04:07Z,14,[0.0],[0.0],
6303,2017-10-23T02:41:05Z,2,[1.0],[0.0],Based on general news and GJP consensus.
368,2017-10-21T21:16:50Z,13,[0.0],[0.0],
691,2017-10-21T19:33:36Z,13,[1.0],[0.0],
691,2017-10-20T19:40:46Z,12,[1.0],[0.0],
39064,2017-10-20T13:55:53Z,1,[66.0],[66.0],
368,2017-10-19T21:36:46Z,12,[0.0],[0.0],
691,2017-10-19T14:13:22Z,11,[1.0],[0.0],
368,2017-10-18T20:33:46Z,11,[0.0],[0.0],
691,2017-10-18T19:15:59Z,10,[1.0],[0.0],
368,2017-10-17T19:43:36Z,10,[0.0],[0.0],
39911,2017-10-17T17:33:47Z,1,[70.0],[70.0],
691,2017-10-16T21:45:07Z,9,[1.0],[0.0],
6303,2017-10-16T04:28:19Z,1,[1.0],[1.0],Based on general news and GJP consensus.
691,2017-10-15T23:31:24Z,8,[1.0],[0.0],
368,2017-10-15T20:48:44Z,9,[0.0],[0.0],
12302,2017-10-14T18:55:45Z,2,[7.0],[-1.0],
368,2017-10-14T17:02:15Z,8,[0.0],[0.0],
691,2017-10-14T13:10:14Z,7,[1.0],[0.0],
368,2017-10-13T23:36:37Z,7,[0.0],[0.0],
691,2017-10-13T19:16:13Z,6,[1.0],[0.0],
192,2017-10-13T01:26:01Z,1,[75.0],[75.0],
38116,2017-10-13T00:12:50Z,1,[2.0],[2.0],
368,2017-10-12T19:01:18Z,6,[0.0],[0.0],
488,2017-10-12T03:06:04Z,1,[5.0],[5.0],I see no chance of any such occurrence.
368,2017-10-11T19:56:21Z,5,[0.0],[0.0],
368,2017-10-10T18:19:22Z,4,[0.0],[0.0],
368,2017-10-09T20:14:17Z,3,[0.0],[0.0],
4729,2017-10-09T19:05:05Z,1,[0.0],[0.0],
368,2017-10-08T19:07:00Z,2,[0.0],[0.0],
40642,2017-10-08T17:19:24Z,1,[0.0],[0.0],
691,2017-10-08T13:20:09Z,5,[1.0],[-1.0],
368,2017-10-07T20:02:21Z,1,[0.0],[0.0],
35398,2017-10-07T02:53:33Z,1,[0.0],[0.0],
15196,2017-10-07T01:47:02Z,1,[0.0],[0.0],
691,2017-10-06T13:08:24Z,4,[2.0],[0.0],
32540,2017-10-04T07:11:18Z,1,[0.0],[0.0],
12302,2017-10-03T23:28:22Z,1,[8.0],[8.0],
691,2017-10-03T20:57:00Z,3,[2.0],[0.0],
22264,2017-10-03T13:11:58Z,1,[0.0],[0.0],
40499,2017-10-03T09:10:25Z,1,[0.0],[0.0],
706,2017-10-03T01:58:13Z,1,[15.0],[15.0],
691,2017-10-02T19:55:23Z,2,[2.0],[0.0],
40272,2017-10-02T18:28:59Z,1,[98.0],[98.0],
40490,2017-10-02T17:42:28Z,1,[10.0],[10.0],
16272,2017-10-02T17:34:53Z,1,[78.0],[78.0],
37474,2017-10-01T23:04:31Z,1,[0.0],[0.0],
14308,2017-10-01T13:36:38Z,1,[0.0],[0.0],
1333,2017-10-01T00:21:49Z,1,[25.0],[25.0],
12879,2017-09-29T21:00:45Z,1,[35.0],[35.0],
691,2017-09-29T20:23:25Z,1,[2.0],[2.0],"With world attention turned elsewhere, it is not inconceivable (a word which does mean what I think it means) that the authorities and their janjaweed pals will turn their attention to the surviving population of Darfur."
33887,2017-09-29T19:30:00Z,1,[100.0],[100.0],
