Will France grant the China Global Television Network (CGTN) a license to broadcast in France before 1 January 2022?,2021-02-26T18:00:54Z,2021-03-03T17:00:31Z,Yes,"['Yes', 'No']","['Business', 'Foreign Policy', 'Non-US Politics']",59,654,35,237,,https://www.gjopen.com/questions/1950-will-france-grant-the-china-global-television-network-cgtn-a-license-to-broadcast-in-france-before-1-january-2022
88452,2021-03-08T13:54:59Z,4,[80.0],[-20.0],"Interesting, how words complicate this matter: DW reported on 06 March 2021, that CGTN received ""permission"" by the French CSA (with the consequence of being received e.g. in the German Vodafone network), in line with the ""1989 transfrontier television agreement"". However, DW delivers the same interpretation that ""CGTN's managers approached the Conseil Supérieur de l'Audiovisuel (CSA) for confirmation that this service was now under French jurisdiction under European law,"" the CSA said in a statement published on its website."" and further: ""a distribution license in one European country is valid across the continent, German media authorities had to notify television networks, such as Vodafone, that the CGTN channel no longer had permission to broadcast."""
93350,2021-02-28T06:57:28Z,1,[75.0],[75.0],"France has no law that prohibits state-controlled broadcasters from airing within the country. The French media watchdog, Conseil supérieur de l’audiovisuel (CSA), has stated that further analysis is required for a decision and that id would depend on technical issues rather political ones. After rejection by OFCOM in the UK of the CGTN broadcast licence, China would benefit from a positive judgement form the CSA as according to the Council of Europe Treaty, if any one member allows it broadcast, then it broadcast to all members. (The Council of Europe has 47 members that include France, UK and China). Brexit does not affect this. Therefore, CGTN could overcome the OFCOM rejection as being an arm of the Chinese Communist Party lacking editorial independence (that contravenes UK Law), but local operators would have to agree to carry the broadcaster. (Vodaphone in Germany has dropped CGTN from its cable network.) No matter the outcome, CGTN is still able to stream its content online and keep its European HQ."
51956,2021-02-28T05:18:02Z,1,[40.0],[40.0],
25400,2021-02-28T04:43:15Z,1,[0.0],[0.0],
92079,2021-02-28T01:39:15Z,1,[0.0],[0.0],
79975,2021-02-27T22:50:07Z,1,[35.0],[35.0],
97375,2021-02-27T19:19:56Z,1,[42.0],[42.0],
81187,2021-02-27T18:14:32Z,1,[0.0],[0.0],
82102,2021-02-27T17:44:59Z,1,[35.0],[35.0],
14208,2021-02-27T12:00:46Z,1,[25.0],[25.0],Domains of warfare. What’s left?
60695,2021-02-27T10:13:21Z,1,[100.0],[100.0],
94872,2021-02-27T03:25:56Z,1,[40.0],[40.0],
80790,2021-02-27T00:32:35Z,1,[33.0],[33.0],
691,2021-02-26T18:56:18Z,1,[76.0],[76.0],
89120,2021-02-26T18:45:39Z,1,[60.0],[60.0],
1333,2021-02-26T18:28:55Z,1,[0.0],[0.0],
8826,2021-02-26T18:12:59Z,1,[90.0],[90.0],
