"Between 1 October 2017 and 30 September 2018, will an armed group from Pakistan engage in a campaign that systematically kills 1,000 or more civilians in Pakistan?",2017-09-29T17:00:13Z,2018-01-01T07:59:37Z,No,"['Yes', 'No']",['Security and Conflict'],252,654,46,237,"The EWP is asking forecasters to help provide early risk assessments to policy makers, NGOs, and other international actors about the systematic killing of civilians resulting in mass fatalities (Early Warning Project). This question is part of a series of quarterly questions (Good Judgment Inc). It will be suspended on 31 December 2017 and will be resolved in October 2018 after EWP assesses the situation in Pakistan from October 2017 through September 2018. Armed groups include but are not limited to state security forces, rebel armies, and other militias. Campaigns that systematically kill civilians include, but are not limited to, policies which intentionally kill civilians en masse (e.g., military strategies that intentionally target civilians, mass execution of a specific group) and policies that knowingly result in widespread death (e.g., mass starvation, confiscation of health care supplies, forced relocation). In general, unrelated executions of individuals or the accidental killing of civilians in war will not be considered a campaign to systematically kill civilians. If an armed group is engaged in multiple campaigns that systematically kill civilians (e.g., in different geographic areas, or targeted against separate civilian groups) those fatalities will be counted separately and the question will only resolve as yes if 1,000 civilian fatalities occur in one or more campaigns. See Early Warning Project for examples. See GJ’s FAQ on forecasting questions like this. Confused? Check our FAQ or ask us for help.",https://www.gjopen.com/questions/624-between-1-october-2017-and-30-september-2018-will-an-armed-group-from-pakistan-engage-in-a-campaign-that-systematically-kills-1-000-or-more-civilians-in-pakistan
37488,2017-12-02T23:49:33Z,1,[1.0],[1.0],
368,2017-12-02T18:51:32Z,66,[0.0],[0.0],
1034,2017-12-02T06:04:25Z,34,[0.0],[0.0],
1034,2017-12-01T07:25:11Z,33,[0.0],[0.0],
368,2017-11-30T22:30:47Z,65,[0.0],[0.0],
691,2017-11-30T17:03:14Z,33,[1.0],[0.0],
42026,2017-11-30T16:16:13Z,1,[15.0],[15.0],
1034,2017-11-30T06:04:25Z,32,[0.0],[0.0],
368,2017-11-29T19:28:46Z,64,[0.0],[0.0],
368,2017-11-28T21:38:32Z,63,[0.0],[0.0],
41958,2017-11-28T21:14:38Z,1,[0.0],[0.0],
691,2017-11-28T20:38:58Z,32,[1.0],[0.0],
41924,2017-11-28T16:12:42Z,1,[0.0],[0.0],
1034,2017-11-28T07:44:01Z,31,[0.0],[0.0],
368,2017-11-28T01:14:49Z,62,[0.0],[0.0],
1333,2017-11-27T21:26:30Z,3,[0.0],[-5.0],
1034,2017-11-27T06:58:02Z,30,[0.0],[0.0],
368,2017-11-27T02:25:12Z,61,[0.0],[0.0],
41270,2017-11-26T21:11:40Z,1,[1.0],[1.0],
37349,2017-11-26T20:44:16Z,1,[1.0],[1.0],Don't foresee any military coups or general public uprising in Pakistan yet.
1034,2017-11-26T07:12:01Z,29,[0.0],[0.0],
368,2017-11-26T01:41:37Z,60,[0.0],[0.0],
1034,2017-11-25T07:53:40Z,28,[0.0],[0.0],
1034,2017-11-24T20:12:47Z,27,[0.0],[0.0],
368,2017-11-24T16:40:06Z,59,[0.0],[0.0],
691,2017-11-24T16:20:54Z,31,[1.0],[0.0],
368,2017-11-24T01:30:43Z,58,[0.0],[0.0],
41523,2017-11-23T05:45:58Z,1,[5.0],[5.0],
368,2017-11-23T00:13:39Z,57,[0.0],[0.0],
1034,2017-11-22T06:41:26Z,26,[0.0],[0.0],
368,2017-11-22T00:25:14Z,56,[0.0],[0.0],
691,2017-11-21T21:47:44Z,30,[1.0],[0.0],
1034,2017-11-21T06:37:40Z,25,[0.0],[0.0],
368,2017-11-20T21:46:25Z,55,[0.0],[0.0],
1034,2017-11-20T18:33:30Z,24,[0.0],[0.0],
691,2017-11-20T18:03:15Z,29,[1.0],[0.0],
368,2017-11-20T00:01:37Z,54,[0.0],[0.0],
373,2017-11-19T20:36:01Z,1,[0.0],[0.0],
1034,2017-11-19T07:15:26Z,23,[0.0],[0.0],
368,2017-11-19T00:47:38Z,53,[0.0],[0.0],
41482,2017-11-18T23:28:24Z,1,[80.0],[80.0],
1034,2017-11-18T21:24:29Z,22,[0.0],[0.0],
691,2017-11-18T19:56:31Z,28,[1.0],[0.0],
368,2017-11-17T21:48:13Z,52,[0.0],[0.0],
1333,2017-11-17T17:04:29Z,2,[5.0],[5.0],If the pattern repeats - Pak diplomatic complaint about cross border attacks from Afghanistan often resut in temporary tightening of the crossing and a switch to insurgents launching attacks from inside Pakistan as these attacks are often about diversion while troops and laborers move about to accommodate the Poppy season.
691,2017-11-17T15:15:01Z,27,[1.0],[0.0],
368,2017-11-16T20:02:07Z,51,[0.0],[0.0],
37851,2017-11-16T02:51:33Z,1,[5.0],[5.0],
691,2017-11-15T22:09:15Z,26,[1.0],[0.0],
691,2017-11-14T22:20:42Z,25,[1.0],[0.0],
8336,2017-11-14T21:42:05Z,1,[2.0],[2.0],
368,2017-11-14T19:31:04Z,50,[0.0],[0.0],
368,2017-11-13T22:17:45Z,49,[0.0],[0.0],
368,2017-11-13T01:23:16Z,48,[0.0],[0.0],
691,2017-11-12T21:48:11Z,24,[1.0],[0.0],
37533,2017-11-12T14:59:52Z,1,[0.0],[0.0],
1034,2017-11-12T05:14:18Z,21,[0.0],[0.0],
368,2017-11-11T20:03:36Z,47,[0.0],[0.0],
368,2017-11-10T18:23:39Z,46,[0.0],[0.0],
1034,2017-11-10T16:40:36Z,20,[0.0],[0.0],
368,2017-11-10T01:44:27Z,45,[0.0],[0.0],
691,2017-11-09T19:44:15Z,23,[1.0],[0.0],
41318,2017-11-09T06:06:12Z,1,[0.0],[0.0],
368,2017-11-08T19:59:58Z,44,[0.0],[0.0],
368,2017-11-07T19:04:21Z,43,[0.0],[0.0],
368,2017-11-06T18:50:43Z,42,[0.0],[0.0],
368,2017-11-05T22:26:03Z,41,[0.0],[0.0],
1034,2017-11-05T06:02:13Z,19,[0.0],[0.0],
368,2017-11-04T22:00:45Z,40,[0.0],[0.0],
12302,2017-11-04T11:47:32Z,4,[2.0],[-2.0],
1034,2017-11-04T06:13:05Z,18,[0.0],[0.0],
368,2017-11-03T17:21:27Z,39,[0.0],[0.0],
691,2017-11-03T15:25:12Z,22,[1.0],[0.0],
1034,2017-11-03T05:54:07Z,17,[0.0],[0.0],
691,2017-11-02T19:05:44Z,21,[1.0],[0.0],
368,2017-11-02T17:23:37Z,38,[0.0],[0.0],
1034,2017-11-02T05:16:23Z,16,[0.0],[0.0],
368,2017-11-01T21:48:56Z,37,[0.0],[0.0],
691,2017-11-01T18:39:21Z,20,[1.0],[0.0],
1034,2017-11-01T05:47:57Z,15,[0.0],[0.0],
691,2017-10-31T22:36:26Z,19,[1.0],[0.0],
368,2017-10-31T18:35:35Z,36,[0.0],[0.0],
1034,2017-10-31T06:26:51Z,14,[0.0],[0.0],
368,2017-10-30T21:54:54Z,35,[0.0],[0.0],
1034,2017-10-30T05:02:26Z,13,[0.0],[0.0],
6303,2017-10-30T03:39:59Z,3,[1.0],[0.0],Based on general news and GJP consensus.
368,2017-10-29T17:28:43Z,34,[0.0],[0.0],
691,2017-10-29T12:56:12Z,18,[1.0],[0.0],
1034,2017-10-29T06:00:34Z,12,[0.0],[0.0],
368,2017-10-29T01:30:37Z,33,[0.0],[0.0],
